41 4 3 4.894828e+01  
41 3 4 4.170833e+01  
41 4 4 2.921429e+01  
42 3 1 4.361538e+01  
42 4 1 NaN  
42 3 2 6.462500e+01  
42 4 2 NaN  
42 3 3 5.040000e+01  
42 4 3 4.692079e+01  
42 3 4 5.846809e+01  
42 4 4 5.360606e+01  
43 3 1 5.320000e+01  
43 4 1 NaN  
43 3 2 5.784211e+01  
43 4 2 NaN  
43 3 3 4.941304e+01  
43 4 3 4.891304e+01  
43 3 4 3.750000e+01  
43 4 4 5.755556e+01  
44 3 1 4.048000e+01  
44 4 1 NaN  
44 3 2 4.179070e+01  
44 4 2 NaN  
44 3 3 3.966667e+01  
44 4 3 3.240426e+01  
44 3 4 3.558491e+01  
44 4 4 2.973585e+01  
45 3 1 7.041667e+01  
45 4 1 NaN  
45 3 2 6.569444e+01  
45 4 2 NaN  
45 3 3 7.415625e+01  
45 4 3 6.051961e+01  
45 3 4 4.030769e+01  
45 4 4 4.373469e+01  
46 3 1 4.956522e+01  
46 4 1 NaN  
46 3 2 5.204545e+01  
46 4 2 NaN  
46 3 3 4.071186e+01  
46 4 3 4.338393e+01  
46 3 4 5.627451e+01  
46 4 4 4.160227e+01  
47 3 1 6.675000e+01  
47 4 1 NaN  
47 3 2 4.760000e+01  
47 4 2 NaN  
47 3 3 5.508889e+01  
47 4 3 5.858065e+01  
47 3 4 3.819298e+01  
47 4 4 4.534579e+01  
48 3 1 6.052273e+01  
48 4 1 NaN  
48 3 2 5.698000e+01  
48 4 2 NaN  
48 3 3 8.380357e+01  
48 4 3 6.670707e+01  
48 3 4 3.022000e+01  
48 4 4 3.987129e+01  
49 3 1 5.837288e+01  
49 4 1 NaN  
49 3 2 5.938000e+01  
49 4 2 NaN  
49 3 3 5.930612e+01  
49 4 3 50  
49 3 4 5.514286e+01  
49 4 4 4.543878e+01  
50 3 1 5.706000e+01  
50 4 1 NaN  
50 3 2 6.756522e+01  
50 4 2 NaN  
50 3 3 5.133333e+01  
50 4 3 4.470707e+01  
50 3 4 4.116981e+01  
50 4 4 5.484158e+01  
